MSA_Name,AdvWeightedGap_2006,AdvWeightedGap_2007,AdvWeightedGap_2008,AdvWeightedGap_2009,AdvWeightedGap_2010,AdvWeightedGap_2011,AdvWeightedGap_2012,AdvWeightedGap_2013,AdvWeightedGap_2014,AdvWeightedGap_2015,AdvWeightedGap_2016,AdvWeightedGap_2017,AdvWeightedGap_2018,AdvWeightedGap_2019,AdvWeightedGap_2020,AdvWeightedGap_2021,AdvWeightedGap_2022,AdvWeightedGap_2023,Adv_Weight_LQ_2015_2018_Anchor,Avg_AdvWeightedGap_PreCOVID_2006_2019,Avg_AdvWeightedGap_COVID_2020_2023,Latest_Year_AdvWeightedGap_2023,Market_Category_Mode_2020_2023
"Greensboro-High Point, NC",-681855.1324556032,1494930.2759982059,763568.7122236639,2820309.762645012,-172218.85424685664,1713390.2733725328,1685614.2176599689,1629739.4626929015,247309.709976892,225875.12282468379,879641.4223313304,-601989.2861411776,393121.8514630273,66815.55382376397,83640.72995370952,541459.3396618827,280875.66361537017,1367893.5546761914,0.46476787851963913,747446.649440596,568467.3219767885,1367893.5546761914,Structurally Balanced
"Harrisburg-Carlisle, PA",237371.14548988407,536545.0683541773,673480.2382308943,-231685.46420281753,332362.50926136784,1331858.035341232,780067.4798563793,679809.7955682473,-431970.8083757954,526683.7775558475,-31275.924438661896,218352.1815679362,604917.6615957627,136534.4575139042,-113467.84454088379,349020.988178947,146640.58438145742,1728692.774757425,0.403405472096542,383075.0109513113,527721.6256942365,1728692.774757425,Structurally Balanced
"Provo-Orem-Lehi, UT",-155256.00249771494,-180061.92009763455,115912.79923967714,148981.26719190786,388779.42972767237,-74324.31990454416,40262.33584838337,-275216.9781799016,6745.077874643612,299047.6783362831,-187058.04429999983,8283.012642112793,22624.149153929204,-155087.6473902457,198689.02957942814,106782.57436680072,723662.4008339862,960967.0995744492,0.5486614278421206,259.3455460406175,497525.27608866605,960967.0995744492,Moderate Structural Surplus
"Jacksonville, FL",208264.54044051142,846356.5065713883,1118550.6792961434,1688374.6839227183,-265095.0243888162,-753534.812136028,170407.0246449504,-788846.0139218261,-517745.062640951,-802036.1243411312,228055.79580789246,9224.08096802514,-206141.09257718595,538466.6923321555,661668.9686961742,-295856.2741333656,1216851.6954156654,312618.1806510817,0.4344500432646367,105307.27671270331,473820.64265738893,312618.1806510817,Moderate Structural Surplus
"Birmingham, AL",315513.202089651,-380692.61546682194,10343.662699801847,404389.68382852897,898301.8577045901,1020506.9085751642,1096225.3363901926,365952.7620315533,-150126.77847703174,471424.4593675062,769796.5641067377,46743.77744531119,248937.52691474045,-9040.981270278804,996836.1096355761,-229625.31745378394,187744.10123975575,934621.1810952476,0.4620335985828316,364876.8118528318,472394.0186291989,934621.1810952476,Moderate Structural Surplus
"Tulsa, OK",595031.6012237342,-481742.920671063,-761560.8683809163,137625.22740414366,-130989.1884701075,50939.58422394376,570491.6393450256,236459.84291883558,-323410.27923490107,-257837.02948135836,792451.4565950744,113789.77814935893,257512.80706969928,80288.53228443116,545612.6925270734,762391.1114956811,851344.2429312095,-414835.406458945,0.5201267984883063,62789.29878399288,436128.16012375476,-414835.406458945,Moderate Structural Surplus
"Oxnard-Thousand Oaks-Ventura, CA",-617071.752931704,-40939.262030242244,392590.80655050045,1465794.3771116827,163418.8928802209,46575.48677327065,-67574.62860819139,70333.99305151915,-209084.8026877744,-715394.5998673406,66388.30508892518,199053.07965099532,405324.78341932734,559821.4593873345,572166.1328788716,-178842.6336709382,86135.92568647047,1224711.0363742178,0.5177198143273112,122802.58127060882,426042.61531715543,1224711.0363742178,Structurally Balanced
"New Haven, CT",407605.2618674962,1254297.1241681166,-334655.59637845773,484058.9160518693,546293.1669579297,-698920.3014839515,-646523.6563895866,-67566.5607410213,-249931.0166643411,-228440.74278106447,-377567.934508482,268362.7081902763,137935.1797934249,289900.44668811746,635413.7437462942,430512.44053839426,117413.49913770799,328461.2384143565,0.4549497270895815,56060.499626451834,377950.2304591882,328461.2384143565,Moderate Structural Surplus
"Ogden, UT",-201687.83999152738,-28080.294064475223,469423.0168854939,191203.5646437714,-664147.2929174299,329981.8263811369,-60319.13586080866,-180340.8913568263,-290788.1911264148,-131060.28447268158,-113413.66648551542,-273399.56785890786,565514.3629494249,-395536.9620393622,385408.3148162584,1956.8746826763963,421409.65118105046,680370.2051387501,0.5629828831184613,-55903.66823672302,372286.26145468384,680370.2051387501,Moderate Structural Surplus
"Cape Coral-Fort Myers, FL",-269595.24316644383,231357.6345971407,252202.29781526187,-111061.8114267462,241093.05411259574,173176.36176469177,-119348.69416277786,22214.792179552373,-33442.136179218185,-68847.64705946704,-41334.81635203952,28715.178503315372,33770.78587205766,16363.856097985408,269830.59144739975,91959.56576147024,345473.50750148547,533185.4170234156,0.3314382350534199,25375.972328279164,310112.2704334428,533185.4170234156,Moderate Structural Surplus
"Wichita, KS",,-71004.83037705068,-1597655.2985455277,-252886.2793558212,126666.74055129569,24439.465479029343,282532.8156603379,847815.901757435,787634.9859846137,70032.86605035514,-1626798.593230851,-289959.12358465744,-219599.9170858683,42542.43538756855,435273.35187252564,-566711.8664957576,-70318.12558770296,1367977.019639161,0.8958953990654199,-144326.063946857,291555.0948570565,1367977.019639161,Structurally Balanced
"Raleigh-Cary, NC",-79815.63229185203,179008.02199337306,-213806.6322072451,-291722.06073679775,-479957.1127939811,300106.34869084135,332708.410028548,14231.018555887043,10191.001828318462,-306414.28853999544,-38748.398056361824,-55412.7259345809,-289266.4411461507,-587778.5064941761,9725.801052977331,-1117014.224329671,527295.9050751356,1712278.521488519,0.5659998102689113,-107619.78550744093,283071.50082174025,1712278.521488519,Structurally Balanced
