MSA_Name,Year,Available_SF_Total,Counterfactual_Space_SF,Adv_Weight_LQ,Adv_Weighted_Available_SF_Total,Adv_Weighted_Counterfactual_SF
"Scranton--Wilkes-Barre, PA",2012,12114964.0,10907426.588400556,0.39136672849149073,4741393.826472185,4268803.860163427
"Scranton--Wilkes-Barre, PA",2013,12540839.0,10173937.103386981,0.39136672849149073,4908067.131968498,3981740.4800307564
"Scranton--Wilkes-Barre, PA",2014,10862884.0,10147015.77775865,0.39136672849149073,4251371.3730625585,3971204.3688929426
"Scranton--Wilkes-Barre, PA",2015,10301155.0,8484242.49301784,0.39136672849149073,4031529.3320337622,3320450.228220881
"Scranton--Wilkes-Barre, PA",2016,9069192.0,7861080.580949106,0.39136672849149073,3549380.0031012,3076565.389374039
"Scranton--Wilkes-Barre, PA",2017,8542884.0,8208988.366027792,0.39136672849149073,3343400.5629623,3212724.921037005
"Scranton--Wilkes-Barre, PA",2018,7948154.0,8271820.850385995,0.39136672849149073,3110643.028526556,3237315.4648832674
"Scranton--Wilkes-Barre, PA",2019,10426685.0,8556425.873922307,0.39136672849149073,4080657.597461299,3348700.401856918
"Scranton--Wilkes-Barre, PA",2020,11197994.0,8020669.399671765,0.39136672849149073,4382522.277447342,3139023.1432613474
"Scranton--Wilkes-Barre, PA",2021,7277872.0,6345598.16637207,0.39136672849149073,2848316.955019823,2483455.9946946395
"Scranton--Wilkes-Barre, PA",2022,7835337.0,6434666.890376236,0.39136672849149073,3066490.2083183317,2518314.5298190615
"Scranton--Wilkes-Barre, PA",2023,7300680.0,5260670.153331769,0.39136672849149073,2857243.2473632568,2058851.2675822834
"Seattle-Tacoma-Bellevue, WA",2006,23231480.0,24249121.749642868,0.5893548720831256,13691585.923701692,14291338.046888912
"Seattle-Tacoma-Bellevue, WA",2007,21887329.0,22340452.25439256,0.5893548720831256,12899403.983036287,13166454.380666703
"Seattle-Tacoma-Bellevue, WA",2008,25998490.0,24939908.62728284,0.5893548720831256,15322336.748304421,14698456.658797119
"Seattle-Tacoma-Bellevue, WA",2009,33070547.0,33287017.846595045,0.5893548720831256,19490287.996903993,19617866.145008743
"Seattle-Tacoma-Bellevue, WA",2010,33489243.0,32925306.68854176,0.5893548720831256,19737048.52442571,19404689.91172321
"Seattle-Tacoma-Bellevue, WA",2011,33745249.0,31742543.41005261,0.5893548720831256,19887926.907808222,18707622.61102462
"Seattle-Tacoma-Bellevue, WA",2012,27903220.0,27149227.489900228,0.5893548720831256,16444898.653807314,16000529.494465828
"Seattle-Tacoma-Bellevue, WA",2013,26022902.0,23703920.393551327,0.5893548720831256,15336724.079441715,13970020.971410036
"Seattle-Tacoma-Bellevue, WA",2014,21184722.0,19489725.791052822,0.5893548720831256,12485319.124426577,11486364.85052113
"Seattle-Tacoma-Bellevue, WA",2015,19349063.0,17650269.423726894,0.5893548720831256,11403464.54929334,10402272.278453268
"Seattle-Tacoma-Bellevue, WA",2016,15419623.0,15353957.625133596,0.5893548720831256,9087629.940735022,9048929.732130343
"Seattle-Tacoma-Bellevue, WA",2017,16398577.0,16977726.489277776,0.5893548720831256,9664581.250180285,10005905.823350597
"Seattle-Tacoma-Bellevue, WA",2018,16426455.0,13934976.24184928,0.5893548720831256,9681011.28530422,8212646.1404964775
"Seattle-Tacoma-Bellevue, WA",2019,17663391.0,15145095.086755542,0.5893548720831256,10410005.543359233,8925835.577541588
"Seattle-Tacoma-Bellevue, WA",2020,23934229.0,16203225.054982103,0.5893548720831256,14105754.470703237,9549449.629613074
"Seattle-Tacoma-Bellevue, WA",2021,20593886.0,25751093.8078906,0.5893548720831256,12137107.049224472,15176532.597149935
"Seattle-Tacoma-Bellevue, WA",2022,25002601.0,15826262.947331525,0.5893548720831256,14735404.71410043,9327285.174878482
"Seattle-Tacoma-Bellevue, WA",2023,30014602.0,14842490.819826605,0.5893548720831256,17689251.922335926,8747494.278513875
"Spokane-Spokane Valley, WA",2007,1982993.0,1996773.9472941752,0.40386720338831056,800865.8372485961,806431.5098923363
"Spokane-Spokane Valley, WA",2008,2448501.0,2865975.3548015314,0.40386720338831056,988869.2513634817,1157473.4515235156
"Spokane-Spokane Valley, WA",2009,2885736.0,3292280.832620301,0.40386720338831056,1165454.1280369698,1329644.2526392995
"Spokane-Spokane Valley, WA",2010,2939071.0,3374274.754945459,0.40386720338831056,1186994.3853296854,1362758.9087435994
"Spokane-Spokane Valley, WA",2011,2934588.0,3222786.7798425057,0.40386720338831056,1185183.8486568956,1301577.8838918116
"Spokane-Spokane Valley, WA",2012,2607879.0,2482751.397222177,0.40386720338831056,1053236.798505104,1002701.8635045412
"Spokane-Spokane Valley, WA",2013,2501072.0,2492414.623302334,0.40386720338831056,1010100.9541128087,1006604.5235972431
"Spokane-Spokane Valley, WA",2014,2166992.0,2773176.661424155,0.40386720338831056,875176.9988048419,1119995.102751105
"Spokane-Spokane Valley, WA",2015,1858635.0,2403746.0776879117,0.40386720338831056,750641.7195696326,970794.2060514375
"Spokane-Spokane Valley, WA",2016,1182730.0,1622649.824014377,0.40386720338831056,477665.8574634566,655335.0465032208
"Spokane-Spokane Valley, WA",2017,1073795.0,1346040.5188239003,0.40386720338831056,433670.58366235095,543621.6199847593
"Spokane-Spokane Valley, WA",2018,1076846.0,1311842.9633669446,0.40386720338831056,434902.7824998887,529810.3488996419
"Spokane-Spokane Valley, WA",2019,1671316.0,1657874.729274151,0.40386720338831056,674989.7188981377,669561.2304801039
"Spokane-Spokane Valley, WA",2020,1827708.0,1103374.6321901628,0.40386720338831056,738151.3185704423,445616.82699224685
"Spokane-Spokane Valley, WA",2021,1524433.0,1777108.442736427,0.40386720338831056,615668.4924628524,717715.8168857164
"Spokane-Spokane Valley, WA",2022,2464080.0,1656235.6276651938,0.40386720338831056,995161.0985250683,668899.251097225
"Spokane-Spokane Valley, WA",2023,2268414.0,1464137.055455282,0.40386720338831056,916138.0183068911,591316.9379639205
"St. Louis, MO-IL",2006,29014905.0,26755200.027328003,0.4781905492118804,13874653.357280536,12794083.795341697
"St. Louis, MO-IL",2007,31825663.0,30349966.383224785,0.4781905492118804,15218731.269002222,14513067.093356369
"St. Louis, MO-IL",2008,35677671.0,34490504.98917971,0.4781905492118804,17060725.090090778,16493033.523370946
"St. Louis, MO-IL",2009,46689002.0,39893985.28318491,0.4781905492118804,22326239.508534584,19076926.732816868
"St. Louis, MO-IL",2010,45156273.0,41993028.100233175,0.4781905492118804,21593302.986231606,20080669.17032043
"St. Louis, MO-IL",2011,43135962.0,40020277.220900565,0.4781905492118804,20627209.359562803,19137318.34387415
"St. Louis, MO-IL",2012,41961529.0,37407025.885210834,0.4781905492118804,20065606.598280247,17887686.252431996
"St. Louis, MO-IL",2013,39084501.0,35037608.83437248,0.4781905492118804,18689838.99886229,16754653.41157961
"St. Louis, MO-IL",2014,33140970.0,31609482.27451535,0.4781905492118804,15847698.645714452,15115355.689153694
"St. Louis, MO-IL",2015,33743113.0,28947232.74345396,0.4781905492118804,16135637.737588542,13842293.123756377
